nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
AF132,Automóvel,Porto,80,44,Em Andamento,1,1,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",16.00,0,0.50,0.038,20.00,25.00,0,49.61,0.79,78.96,3
AF133,Automóvel,Porto,72,36,Em Andamento,13,13,15/08/2025,21/08/2025,"35
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,47.26,0.76,75.94,10
AF134,Automóvel,Porto,72,37,Em Andamento,5,5,15/08/2025,21/08/2025,"34
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,45.96,0.77,77.33,10
AF136,Automóvel,Porto,72,38,Em Andamento,7,7,15/08/2025,21/08/2025,"33
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,15.00,0,46.02,0.64,64.48,8
AF137,Automóvel,Porto,50,17,Em Andamento,2,2,15/08/2025,21/08/2025,32,18.00,0,0.50,0.038,20.00,15.00,0,22.51,0.49,48.85,5
AF139,,Porto,,0,,,0,,,,,,,,,,,,,,
AF140,Automóvel,Porto,50,18,Em Andamento,1,1,15/08/2025,21/08/2025,"31
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,22.05,0.55,55.06,12
AF141,Automóvel,Porto,72,38,Em Andamento,68,68,15/08/2025,21/08/2025,"33
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,15.00,0,53.46,0.64,64.48,15
AF143,Automóvel,Porto,50,17,Em Andamento,2,2,15/08/2025,21/08/2025,"32
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,25.00,0,22.18,0.54,53.56,7
AF146,Automóvel,Porto,50,22,Em Andamento,1,1,15/08/2025,21/08/2025,"27
VALOR DO CRÉDITO",18.00,0,0.50,0.038,20.00,15.00,0,27.89,0.69,68.71,15
